grn_number,po_number,line_no,item_code,qty_received
GRN-2026-00458,PO-2026-00498,1,TLS-TRQ34,30
GRN-2026-00458,PO-2026-00498,2,TLS-GRN230,6
GRN-2026-00458,PO-2026-00498,3,TLS-DRL18,3
GRN-2026-00459,PO-2026-00499,1,DRV-TL2517,5
GRN-2026-00459,PO-2026-00499,2,BRG-22216,3
GRN-2026-00459,PO-2026-00499,3,BRG-6205,6
GRN-2026-00460,PO-2026-00500,1,HDW-PDL50,20
GRN-2026-00461,PO-2026-00501,1,HYD-CYL80,12
GRN-2026-00461,PO-2026-00501,2,HYD-2SN12,8
GRN-2026-00462,PO-2026-00502,1,WLD-HLM01,10
GRN-2026-00463,PO-2026-00503,1,PIP-GAL50,4
GRN-2026-00463,PO-2026-00503,2,PIP-FLG80,6
GRN-2025-00464,PO-2025-00504,1,WLD-HLM01,1
GRN-2025-00464,PO-2025-00504,2,WLD-E6013,2
GRN-2025-00464,PO-2025-00504,3,WLD-MIG08,20
GRN-2025-00465,PO-2025-00505,1,SEL-GSK150,4
GRN-2025-00465,PO-2025-00505,2,SEL-OIL45,2
GRN-2025-00465,PO-2025-00505,3,SEL-ORK01,2
GRN-2026-00466,PO-2026-00506,1,ELE-BAT100,4
GRN-2026-00466,PO-2026-00506,2,ELE-SWA4C,10
GRN-2025-00467,PO-2025-00507,1,FST-M12X60,3
GRN-2025-00468,PO-2025-00508,1,PIP-FLG80,5
GRN-2025-00468,PO-2025-00508,2,PIP-GAL50,5
GRN-2026-00469,PO-2026-00510,1,PPE-GLV10,1
GRN-2026-00470,PO-2026-00512,1,WLD-E6013,3
GRN-2026-00470,PO-2026-00512,2,WLD-HLM01,3
GRN-2025-00471,PO-2025-00513,1,DRV-TL2517,12
GRN-2025-00471,PO-2025-00513,2,DRV-SPB2120,8
GRN-2025-00472,PO-2025-00515,1,SEL-GSK150,1
GRN-2026-00473,PO-2026-00516,1,CNV-BLT650,8
GRN-2026-00473,PO-2026-00516,2,CNV-IDL152,2
GRN-2026-00473,PO-2026-00516,3,CNV-PUL400,2
GRN-2026-00474,PO-2026-00517,1,HYD-PMP45,10
GRN-2026-00475,PO-2026-00518,1,PPE-HAT01,1
GRN-2026-00475,PO-2026-00518,2,PPE-GLV10,3
GRN-2026-00475,PO-2026-00518,3,PPE-BOOT8,10
GRN-2026-00475,PO-2026-00518,4,PPE-HRN01,12
GRN-2026-00476,PO-2026-00519,1,WLD-E6013,50
GRN-2026-00476,PO-2026-00519,2,WLD-HLM01,3
GRN-2026-00476,PO-2026-00519,3,WLD-MIG08,1
GRN-2026-00477,PO-2025-00520,1,BRG-22216,1
GRN-2026-00477,PO-2025-00520,2,BRG-6205,3
GRN-2026-00477,PO-2025-00520,3,DRV-TL2517,3
GRN-2026-00477,PO-2025-00520,4,DRV-SPB2120,2
